epoch,train_loss,val_loss,train_acc,val_acc
1,0.27008656719949903,0.14402169707168397,0.8972231261525111,0.9474206349206349
2,0.1983474271027864,0.12744474362689145,0.9229309035687168,0.9508928571428571
3,0.18938505980739465,0.1288457624531085,0.9254799869834038,0.9528769841269841
4,0.18084382136083382,0.1224636505653579,0.9311205119861157,0.9528769841269841
5,0.18018809366560923,0.11671871023385652,0.9307408612647793,0.9565972222222222
6,0.16779498040194704,0.10516275199765843,0.9361644429981559,0.9585813492063492
7,0.1673721393953172,0.10414064562064596,0.9376288100661677,0.9608134920634921
8,0.16191019098608006,0.10982032591686769,0.9392016487688469,0.957093253968254
9,0.15501274910035762,0.10105244368813666,0.9411541381928625,0.9618055555555556
10,0.15358026067549418,0.09513777189995236,0.9416422605488665,0.9645337301587301
11,0.1406038468909601,0.09981515500135535,0.9473912571862458,0.9598214285714286
12,0.140978634111496,0.08912240200660317,0.9478251437249159,0.9650297619047619
13,0.1358866582597151,0.08959619900108212,0.9496149256969303,0.9642857142857143
14,0.1344582823227125,0.08893628013486575,0.948964095888925,0.9657738095238095
15,0.1308865541865256,0.08528301741165388,0.9508623494956069,0.9672619047619048
16,0.12901428644848278,0.08568434391227561,0.9518385942076147,0.9689980158730159
17,0.13052462079644636,0.08219401125317082,0.9508623494956069,0.9682539682539683
18,0.12743888835237724,0.08667044080495889,0.9515674151209459,0.9694940476190477
19,0.12181503699562558,0.08390530870493089,0.9543876776223018,0.9677579365079365
20,0.11867898070889123,0.08094700793449264,0.9561774595943161,0.96875
